name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;957;0;934;3085;1320;3085;1088;0
header;167;145;167;179;1795;179;1795;145
A;970;209;970;235;993;235;993;209
A;1023;241;1023;245;1025;245;1025;241
B;971;883;971;910;993;910;993;883
A;1049;1167;1049;1168;1049;1168;1049;1167
A;1065;1257;1065;1262;1071;1262;1071;1257
C;965;1619;965;1648;986;1648;986;1619
B;1003;2188;1003;2206;1017;2206;1017;2188
D;967;2295;967;2321;988;2321;988;2295
C;933;2364;933;2383;949;2383;949;2364
B;1197;2681;1197;2700;1211;2700;1211;2681
